pred1	pred1Role	pred2	pred2Role	score
A0	0	V0	1	0.1297414651299904
A1	0	V0	1	1.0089412873962718
A2	0	V0	1	-0.6733075377147878
A3	0	V0	1	-0.3268901289820552
A4	0	V0	1	0.02097478140289567
A5	0	V0	1	1.0024655659084167
A6	0	V0	1	0.11293819938333886
A7	0	V0	1	-1.158806361957368
A8	0	V0	1	-1.8714781354204773
A9	0	V0	1	-1.422123948338864
A0	0	V1	1	0.7572724690558897
A1	0	V1	1	-0.016105871855854045
A2	0	V1	1	0.5422875559195661
A3	0	V1	1	1.5778591531723687
A4	0	V1	1	-5.436869753895269
A5	0	V1	1	-1.1140352908020608
A6	0	V1	1	-1.5955271485269036
A7	0	V1	1	0.34844019749615956
A8	0	V1	1	-0.144412161577309
A9	0	V1	1	0.2805330924443285
A0	0	V2	1	-1.8675012532501392
A1	0	V2	1	0.5499195000985848
A2	0	V2	1	-0.5098045036677197
A3	0	V2	1	0.9081758272520863
A4	0	V2	1	-0.05868722418477575
A5	0	V2	1	-1.7064740865712258
A6	0	V2	1	-1.5058955335248774
A7	0	V2	1	0.9717186251027218
A8	0	V2	1	1.0559150719072332
A9	0	V2	1	0.09697997959836467
A0	0	V3	1	-1.7005442930952868
A1	0	V3	1	0.5583565999524318
A2	0	V3	1	-0.9414271459321588
A3	0	V3	1	-0.010416455374944704
A4	0	V3	1	-0.4929648896561246
A5	0	V3	1	1.3618114556613978
A6	0	V3	1	-0.4673704495916774
A7	0	V3	1	0.6795812881313505
A8	0	V3	1	-3.1769593357758343
A9	0	V3	1	-0.2819714455008721
A0	0	V4	1	-0.17887395195979747
A1	0	V4	1	-2.520384967797402
A2	0	V4	1	-1.8046064178585444
A3	0	V4	1	-1.9864009867001027
A4	0	V4	1	0.3841135476138635
A5	0	V4	1	0.13194096520530077
A6	0	V4	1	-0.31086437289472335
A7	0	V4	1	1.3089844917969142
A8	0	V4	1	1.0138782708026368
A9	0	V4	1	-1.7294451842679535
A0	0	V5	1	1.4988410468033808
A1	0	V5	1	0.23081981761139314
A2	0	V5	1	0.6055500465840615
A3	0	V5	1	0.369272844137983
A4	0	V5	1	-0.4772495553272969
A5	0	V5	1	-1.0389736933251466
A6	0	V5	1	-1.2738230087704843
A7	0	V5	1	-1.6943773021455995
A8	0	V5	1	-1.2868017000704834
A9	0	V5	1	0.14917360453786616
A0	0	V6	1	-1.2130885921348615
A1	0	V6	1	-2.3935861528367406
A2	0	V6	1	0.7952690908052632
A3	0	V6	1	-3.081391707300873
A4	0	V6	1	-1.8471362641141271
A5	0	V6	1	-1.043339501720539
A6	0	V6	1	1.5476640116121705
A7	0	V6	1	-0.31576956247367904
A8	0	V6	1	-2.052698191664801
A9	0	V6	1	0.6355890097513062
A0	0	V7	1	-0.42455073998599796
A1	0	V7	1	-1.1159109116195993
